step_detect,mtk,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2084893508,3,1.0
2084894027,3,1.0
2084894450,3,1.0
2084894727,3,1.0
2084895251,3,1.0
2084895769,3,1.0
2084898767,3,1.0
2084899150,3,1.0
2084899547,3,1.0
2084900011,3,1.0
2084900490,3,1.0
2084900928,3,1.0
2084901371,3,1.0
2084901890,3,1.0
2084906650,3,1.0
2084906887,3,1.0
2084907230,3,1.0
2084907668,3,1.0
2084908030,3,1.0
2084908409,3,1.0
2084908867,3,1.0
2084909229,3,1.0
2084909648,3,1.0
2084910287,3,1.0
2084910549,3,1.0
2084916191,3,1.0
2084916751,3,1.0
2084917309,3,1.0
2084918387,3,1.0
2084918770,3,1.0
2084966671,3,1.0
2084967290,3,1.0
2084968031,3,1.0
2084988250,3,1.0
2084988587,3,1.0
2084989167,3,1.0
2085040310,3,1.0
2085040830,3,1.0
