step_detect,mtk,2026-06-11_17-50-21.438_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2079957425,3,1.0
2079958051,3,1.0
2079958487,3,1.0
2079981227,3,1.0
2079981827,3,1.0
2079982546,3,1.0
2079983147,3,1.0
2079983826,3,1.0
2079984426,3,1.0
2079985085,3,1.0
2079985685,3,1.0
2079986325,3,1.0
2079986904,3,1.0
2079987524,3,1.0
2079988164,3,1.0
2079988803,3,1.0
2079989403,3,1.0
2079990045,3,1.0
2079990687,3,1.0
2079991307,3,1.0
2079991926,3,1.0
2079992567,3,1.0
2079993186,3,1.0
2079993826,3,1.0
2079994425,3,1.0
2079995126,3,1.0
2079995745,3,1.0
2079996446,3,1.0
2079997065,3,1.0
2079997367,3,1.0
2079997806,3,1.0
2079998445,3,1.0
2079999126,3,1.0
2079999725,3,1.0
2080023965,3,1.0
2080024566,3,1.0
2080025285,3,1.0
2080026565,3,1.0
2080027165,3,1.0
2080027784,3,1.0
2080028404,3,1.0
2080029023,3,1.0
2080029645,3,1.0
2080030283,3,1.0
2080030867,3,1.0
2080031487,3,1.0
2080032086,3,1.0
2080032706,3,1.0
2080033325,3,1.0
2080033965,3,1.0
2080034544,3,1.0
2080035185,3,1.0
2080035804,3,1.0
2080036424,3,1.0
2080037045,3,1.0
2080037683,3,1.0
2080038308,3,1.0
2080038987,3,1.0
2080039587,3,1.0
2080040307,3,1.0
2080040927,3,1.0
2080041647,3,1.0
2080042308,3,1.0
2080043023,3,1.0
2080043763,3,1.0
2080066744,3,1.0
2080067405,3,1.0
2080068045,3,1.0
2080068684,3,1.0
2080069323,3,1.0
2080069945,3,1.0
2080070544,3,1.0
2080071187,3,1.0
2080071808,3,1.0
2080072427,3,1.0
2080073067,3,1.0
2080073706,3,1.0
2080074387,3,1.0
2080074603,3,1.0
2080075006,3,1.0
2080075646,3,1.0
2080076285,3,1.0
2080076926,3,1.0
2080077167,3,1.0
2080077565,3,1.0
2080078185,3,1.0
2080078804,3,1.0
2080079424,3,1.0
2080080044,3,1.0
2080080664,3,1.0
2080081283,3,1.0
2080081887,3,1.0
2080082508,3,1.0
2080083126,3,1.0
2080083787,3,1.0
2080084406,3,1.0
2080135184,3,1.0
2080135946,3,1.0
2080136424,3,1.0
2080136867,3,1.0
2080137703,3,1.0
2080138767,3,1.0
2080138787,3,1.0
2080139164,3,1.0
